filename$LOC$class_value$message
epan/dissectors/packet-tftp.c$  /* When exporting file object, build up list of data blocks here */$0$Update this comment too._
epan/dissectors/packet-tftp.c$	gchar    *filename_$0$Need to fix up the whitespace here.  Not my choice, but 2 spaces it is._
epan/dissectors/packet-tftp.c$  /* Iterate over list of blocks and concatenate into contiguous memory */$0$No iteration here anymore..._
epan/dissectors/packet-tftp.c$  /* Iterate over list of blocks and concatenate into contiguous memory */$0$I mean that we now already maintain the data in one buffer, whereas before we had a list and had to stitch them together.._
epan/dissectors/packet-tftp.c$  /* Iterate over list of blocks and concatenate into contiguous memory */$0$I do not understand what you mean_
epan/dissectors/packet-tftp.c$          tftp_info->payload_data = (guint8 *)g_try_malloc((gsize)tftp_info->file_length)_$0$Who frees this up?_
epan/dissectors/packet-tftp.c$      payload_data_offset =$0$Add a comment here about copying the data to its place inside payload_data ?_
ui/qt/packet_list.cpp$    action->setData(QVariant(true))_$0$".setData() has the obvious flaw of not being able to be intention save. Moving setData to a setProperty with the accompanying tag will achieve the same thing, but ensuring, that no mixups can occur. _  _ Please change to: _  _   action->setProperty(""create_new"", QVariant(true))__"
epan/dissectors/packet-tftp.c$  gboolean     is_simple_file_$0$What does this param mean?  Is it whether or not a heuristic claimed the data payload?  Are you payload dissectors private?_
epan/dissectors/packet-tftp.c$static gboolean tftp_defragment = FALSE_$0$Maybe a comment here to say that this is a preference value?_
epan/dissectors/packet-tftp.c$    is_fragmented = !(is_last_package && blocknum == 1)_$1$Add a comment here to say that this is where reassembly is being done._
epan/dissectors/packet-tftp.c$        tftpfd_head = fragment_add_seq_check(&tftp_reassembly_table, tvb, offset, pinfo,$0$Could you please comment the individual args/params here, particularly that NULL is the 'data' param._
epan/dissectors/packet-tftp.c$      call_data_dissector(tvb_new_subset_remaining(tvb, offset), pinfo, tree)_$0$Add a comment here to say that this is where reassembly succeeds._
epan/dissectors/packet-tftp.h$/* packet-tftp.h$0$There are currently no other files including this header file (other than the dissector).  Which (file-type?) dissectors would you expect to claim the file payload data?  Is there a separate change that casts data to this type for display?_
epan/dissectors/packet-rlc-nr.c$        dissector_handle_t protocol_handle_$0$I get this error here: _  _ /home/martin/wireshark/epan/dissectors/packet-rlc-nr.c:531:28: error: variable ‘protocol_handle’ might be clobbered by ‘longjmp’ or ‘vfork’ [-Werror=clobbered] _          dissector_handle_t protocol_handle_ _  _ Making it volatile made it go away (haven't had to this in a long time).  My gcc is 4.8.5 (2015)._
epan/dissectors/packet-rlc-nr.c$        dissector_handle_t protocol_handle_$0$Hi Martin, _ thanks for the report, newer gcc versions do not complain that's why I did not spot it. Will you push a change to add it, or do you want me to do it?_
epan/dissectors/packet-amp.c$ * This program is free software_ you can redistribute it and/or modify$0$Line 10 - 22 can be deleted. It is represented by line 24(SPDX-License-Identifier: GPL-2.0-or-later)_
epan/dissectors/packet-amp.c$#include <glib.h>$0$Line 28 not needed._
epan/dissectors/packet-amp.c$add_value_time_to_tree(guint64 value, int len, proto_tree *tree, tvbuff_t *tvb, int offset, int hf_time_format)$0$This routine is not used outside of the file? Then it should be static and line 43 can bew deleted._
epan/dissectors/packet-amp.c$        amp_message_tree = proto_tree_add_subtree(amp_message_sub_tree, tvb, offset, -1,$0$You might want to use proto_tree_add_bitmask_with_flags() or similar._
epan/dissectors/packet-amp.c$            amp_register_sub_tree = proto_item_add_subtree(amp_message_tree, ett_amp)_$0$Do you realy want this line? nesting twice._
epan/dissectors/packet-amp.c$				(int) tmpObj.uint, ENC_ASCII|ENC_NA)_$0$Use space not tabs._
epan/dissectors/packet-amp.c$            amp_report_set_sub_tree = proto_item_add_subtree(amp_message_tree, ett_amp)_$0$Do you realy want this line? nesting twice._
epan/dissectors/packet-amp.c$				    (int) tmpObj2.uint, ENC_ASCII|ENC_NA)_$0$Use space not tabs._
epan/dissectors/packet-amp.c$                amp_report_sub_tree = proto_item_add_subtree(amp_report_set_tree, ett_amp)_$0$Do you realy want this line? nesting twice._
epan/dissectors/packet-amp.c$                amp_ari_sub_tree = proto_item_add_subtree(amp_report_tree, ett_amp)_$0$Do you realy want this line? nesting twice._
epan/dissectors/packet-amp.c$                    proto_tree_add_uint(amp_ari_tree, hf_ari_nickname, tvb, offset, 1, ariFlags)_$0$You might want to use proto_tree_add_bitmask_with_flags() or similar._
epan/dissectors/packet-amp.c$                amp_tnvc_tree = proto_tree_add_subtree(amp_tnvc_sub_tree, tvb, offset, -1,$0$You might want to use proto_tree_add_bitmask_with_flags() or similar._
epan/dissectors/packet-amp.c$					(int) tmpObj3.uint-tmpObj4.size, 0x00)_$0$Use space, not tab._
epan/dissectors/packet-amp.c$            amp_control_sub_tree = proto_item_add_subtree(amp_message_tree, ett_amp)_$0$Do you realy want this line? nesting twice._
epan/dissectors/packet-amp.c$            amp_table_sub_tree = proto_item_add_subtree(amp_items_tree, ett_amp)_$0$Do you realy want this line? nesting twice._
epan/dissectors/packet-amp.c$ */$0$Line 10 - 22 Use _ SPDX-License-Identifier: GPL-2.0-or-later _ as in the other files._
epan/dissectors/packet-amp.c$        ampHeader = tvb_get_guint8(tvb, offset)_$0$For this section use one of the _ proto_tree_add_bitmask_list... functions? _ (proto_tree_add_bitmask_ret_uint64?) _ Can be used other places too._
epan/dissectors/packet-amp.c$"        { ""Reserved"", ""tnvc.reserved"","$0$Tnvc ?_
epan/dissectors/packet-cfdp.c$    first_byte = tvb_get_guint8(tvb, offset)_$0$Why fetch the value, use proto_tree_add_item() or one of the proto_tree_add_bitmask() function (see proto.h)_
epan/dissectors/packet-gsm_abis_om2000.c$		case 0xa8:$0$Why not keep the case statments in numerical order?_
epan/dissectors/packet-gsm_abis_om2000.c$		case 0xa8:$0$They are not all in numerical order, as then you couldn't use fall-throguh statements as we do in order to avoid code duplication.  Hoewver, in this specific example, we could actually move this block further below to at least keep the majority in-order._
epan/dissectors/packet-gsm_abis_om2000.c$		case 0xa8:$0$I wanted to modify the patch, but I realized that in fact it is correct as-is:  All the specific dissectors (with hf_... field) are here, in ascending order of switch values.  Below this block, starting from 0xa3, are the dissectors for unknown information elements, which by their nature use fall-through clauses as we only differentiate based on structure of encoding._
epan/dissectors/packet-lldp.c$"	dissector_add_uint(""ethertype"", ETHERTYPE_ONOS, lldp_handle)_ /* ONOS Ether Type */"$0$The comment is now a bit superfluous, isn't it?_
epan/dissectors/packet-lldp.c$"	dissector_add_uint(""ethertype"", ETHERTYPE_ONOS, lldp_handle)_ /* ONOS Ether Type */"$1$Done_
CMakeLists.txt$"	URL ""www.kernel.org"""$0$A scheme (i.e., https) for this URI would be desirable, or rather a more specific URL, i.e., https://git.kernel.org/pub/scm/libs/libcap/libcap.git_
CMakeLists.txt$"	URL ""www.kernel.org"""$1$Sounds good to me too._
CMakeLists.txt$"	URL ""www.kernel.org"""$0$"I'm not sure about having git links here. Basically, as far as I can tell, those are links to give the developer a general link about what we're talking about, not a ""clone"" link. If I were in a new devel's shoes, and I read that libVERYFUN is missing, I would prefer having a link to www.veryfun.com than a link to git.hoster.com/projects/blabla/x/veryfun.git. What do you think? _  _ Anyway, no matter which road we want to take, I think that all links should stick with that policy the same way._"
CMakeLists.txt$"	URL ""www.kernel.org"""$0$"https: ok. _ git: there is actually a mix of ""root"" links (as spandsp) and git ones (as SBC). What would be more desirable?_"
CMakeLists.txt$"	URL ""www.kernel.org"""$0$The link actually gives the most relevant information when accessed through web browser, i.e. on the about page, much more to the point than generic kernel.org._
CMakeLists.txt$"	URL ""www.kernel.org"""$1$Consider linking to https://sites.google.com/site/fullycapable/ _ This is done by Arch Linux, see https://www.archlinux.org/packages/core/x86_64/libcap/ _ and is mentioned in the README https://git.kernel.org/pub/scm/libs/libcap/libcap.git/tree/README_
CMakeLists.txt$"	URL ""www.kernel.org"""$1$Sounds good._
CMakeLists.txt$"	PURPOSE ""These capabilities are a partitioning of the all powerful root privilege into a set of distinct privileges"""$0$"Let's make this less cryptic: _  _  ""Allow packet captures without running as root""_"
CMakeLists.txt$"	PURPOSE ""These capabilities are a partitioning of the all powerful root privilege into a set of distinct privileges"""$0$That has been copy&pasted by the original library description found everywhere, like here: https://directory.fsf.org/wiki/Libcap. I can agree that that can be cryptic, but at least that's what they provide, not us._
CMakeLists.txt$"	PURPOSE ""These capabilities are a partitioning of the all powerful root privilege into a set of distinct privileges"""$0$But we describe the use for _our_ purpose, or at least that's what all the other package properties do. So keeping in line with that the suggestion of Peter is fitting here._
extcap.c$         * pipe has been closed before writing the to the pipe.$0$Could you please fix the typos in this comment?_
epan/dissectors/packet-tnef.c$"        proto_item_append_text(prop_item, "" %s"", name_string)_"$0$"this is not the same as before. Previously it was: _  _  [Named Property: ...] _  _ Suggestion: if it is NULL, use ""unknown"": _  _  proto_item_append_text(prop_item, "" [Named Property: %s]"", name_string ? name_string : ""Unknown"")__"
epan/dissectors/packet-tnef.c$"        proto_item_append_text(prop_item, "" %s"", name_string)_"$0$"The former code was like _  _ if name_string _   print(""[Named Properry]"") _ else _   print(""[Named Property: %s]"", property _  _ I've changed it to _  _ print(""[Named Property"") _ if name_string _   print("": %s"", property) _ print(""]"") _  _ that should resemble it, unless I'm missing something big. _ (actually the colon was missing, but I'm adding it)._"
epan/dissectors/packet-gsm_a_bssmap.c$    }$0$The string is now taken from gsm_a_bssap_cause_rvals[], so should be retrieved from there, not simply dropped._
epan/dissectors/packet-gsm_a_bssmap.c$    }$1$Done_
epan/dissectors/packet-tnef.c$        tag_length = tvb_get_letohl(tvb, offset)_$0$This seems to be relevant for the original author, so this should stay in._
epan/dissectors/packet-tnef.c$        tag_length = tvb_get_letohl(tvb, offset)_$0$Actually this text has not been removed. It has just been moved in line 391._
epan/dissectors/packet-tnef.c$          proto_tree_add_item(tag_tree, hf_tnef_property_padding, tvb, offset, padding, ENC_NA)_$0$This is where the name is supposed to come from. It originally was retrieved as a string and subsequently added as a value. Maybe you can convert this into a call the returns the desired string value, so that is can be appended._
epan/dissectors/packet-tnef.c$          proto_tree_add_item(tag_tree, hf_tnef_property_padding, tvb, offset, padding, ENC_NA)_$0$Ok. I will get it from here and add it in line 391._
epan/dissectors/packet-tnef.c$      /* handle any specific tags here */$0$This also seems to be relevant for the author, so this should stay in._
plugins/epan/mate/mate_runtime.c$"				dbg_print (dbg_gog,1,dbg_facility,""analyze_gop: no gogkey_match: %s"",key)_"$0$This will never be executed, will it?_
plugins/epan/mate/mate_runtime.c$"				dbg_print (dbg_gog,1,dbg_facility,""analyze_gop: no gogkey_match: %s"",key)_"$1$Well, no, you're right._
ui/qt/interface_frame.cpp$"            ""</p><p>"""$0$"Why remove this line? _  _ I usually run Wireshark without NPcap installed, just using extcap interfaces. Bringing back this line removes the warning for me. Shall ""extcap only"" be considered ""good"" or ""warning""?_"
epan/dissectors/packet-rdm.c$			proto_tree_add_item(tree, hf_rdm_parameter_data_raw, tvb, offset, pdl, ENC_NA)_$0$hf_rdm_pd_ack_overflow_uid is now unused and could be removed. Moreover you should not reuse parameter_data_raw as the filter does not match this function (add a hf_rdm_pd_ack_overflow_data). _ Is adding the real dissection complex?_
epan/dissectors/packet-rdm.c$			proto_tree_add_item(tree, hf_rdm_parameter_data_raw, tvb, offset, pdl, ENC_NA)_$0$OK until that happens, let's get rid of the now unused hf variable and let's add a new hf variable with a meaningful filter name for this packet type._
epan/dissectors/packet-rdm.c$			proto_tree_add_item(tree, hf_rdm_parameter_data_raw, tvb, offset, pdl, ENC_NA)_$0$The real solution is not trivial because it includes combining data from several UDP packets and I am not yet sure how to do that. The protocol sends ack-overflow packets until the remaining data fits than it sends an ack message. To dissect the data one would need the complete data. So that is a bigger change that I will need some time for to figure out.   _  _ But I got bug report about the wrong checksum, so the way it is now is completely wrong, so better to just have raw bytes than incorrect info._
epan/dissectors/packet-ber.c$    if ((len > 9) || ((len == 9) && (first != 0))) {$0$(2) here_
epan/dissectors/packet-ber.c$        if ((len < 1) || (len > 9) || ((len == 9) && (first != 0))) {$0$Will not this check cause the FT_BYTES to end up here?_
epan/dissectors/packet-ber.c$        if ((len < 1) || (len > 9) || ((len == 9) && (first != 0))) {$0$(1) no, the condition above is triggered first. We can end up here if len==0. _  _ If len is between 1 and 8, then the case below can be triggered. That is why the first patch set failed tests._
epan/dissectors/packet-ber.c$                 * use FT_BYTES in order to be able to display these. */$0$I guess the comment is a bit confusing here: it suggest that this code could be called when the integer value > 64 bits, which is not the case (the HF definition is using FT_BYTES as it can be > 64 bits in theory, but that's not the case here)._
epan/dissectors/packet-ber.c$                 * use FT_BYTES in order to be able to display these. */$0$"I was about to change the comment to: _  _                 /* _                  * Some protocols have INTEGER fields that can store values _                  * larger than 64 bits and therefore have to use FT_BYTES. _                  * Values larger than 64 bits are handled above while smaller _                  * values are handled here. _                  */ _  _ but realized that the above case adds a field with a ""0x"" prefix while the smaller case here does not do that. For consistency I suppose that either 0x has to be present for all byte types, or it should be removed. Any suggestion?_"
epan/dissectors/packet-ber.c$                 * use FT_BYTES in order to be able to display these. */$0$Yes prepending 0x makes sense to make it obvious we are displaying an hexadecimal number._
tools/macos-setup-brew.sh$brew install c-ares glib libgcrypt gnutls lua@5.1 cmake python nghttp2 snappy lz4 libxml2 ninja libmaxminddb doxygen libsmi spandsp brotli minizip zstd libilbc$1$We need to update macos-setup.sh as well, since that's what we use on the macOS builder._
plugins/codecs/iLBC/CMakeLists.txt$set(CODEC_SRC$0$all other codecs plugins are named in small letters. Should we rename it to ilbc?_
plugins/codecs/iLBC/CMakeLists.txt$set(CODEC_SRC$0$I think so, yes._
tools/debian-setup.sh$add_package ADDITIONAL_LIST libilbc-dev ||$0$A comment indicating where this package can be found would help, since it's not in the official repos._
cmake/modules/FindILBC.cmake$"    ""${ILBC_HINTS}/include"""$0$Why iLBC_decode.h? Should not it be ilbc.h (the file you include in iLBCdecode.c)?_
plugins/codecs/iLBC/iLBCdecode.c$    WebRtc_Word16 *dataIn  = (WebRtc_Word16 *)inputBytes_$0$As seen in https://github.com/TimothyGu/libilbc/blob/master/ilbc/interface/ilbc.h, the interface is using int16_T and not the undefined WebRtc_Word16 type_
plugins/codecs/iLBC/iLBCdecode.c$    WebRtc_Word16 *dataIn  = (WebRtc_Word16 *)inputBytes_$0$I'm using library from Fedora Core 31 ilbc-devel-1.1.1. It says it is packaged https://github.com/TimothyGu/libilbc. _ I found now that there are several releases of ilbc - 1.x and 2.x. It looks that 1.x use different types for calls than 2.x. _ Should I handle it with some kind of #define?_
tools/debian-setup.sh$"	libilbc-dev"""$0$It should not be here. Those are ever-present packages. See below for packages present from a certain version on or with different names. It fails on older ubuntu versions: _  _ E: Unable to locate package libilbc-dev_
tools/rpm-setup.sh$add_package ADDITIONAL_LIST ilbc-devel || add_package ADDITIONAL_LIST ilbc-devel ||$0$It's a repetition, isn't it? Make it one._
plugins/codecs/iLBC/iLBCdecode.c$    //iLBC_decinst_t *ctx_$0$please remove unused code instead of commenting it_
plugins/codecs/iLBC/iLBCdecode.c$codec_iLBC_release(void *ctx _U_)$0$ctx is used, so remove the _U__
plugins/codecs/iLBC/iLBCdecode.c$    WebRtcIlbcfix_DecoderFree(((ilbc_ctx_t *)ctx)->ilbc_ctx)_$0$ctx is not freed?_
plugins/codecs/iLBC/iLBCdecode.c$codec_iLBC_decode(void *ctx _U_, const void *inputBytes, size_t inputBytesSize,$0$ctx is used, so remove the _U__
plugins/codecs/iLBC/iLBCdecode.c$    } else if (0 == inputBytesSize%ILBC_PAYLOAD_LEN_30MS) {$0$so what happens if inputBytesSize changes for a given stream (because of a malformed packet for example)? Should we skip the sample if the decoder was already initialized?_
plugins/codecs/iLBC/iLBCdecode.c$    } else if (0 == inputBytesSize%ILBC_PAYLOAD_LEN_30MS) {$0$Wireshark shares codecs during decoding. It may happen that _decode is called twice in row, each call with different payload size. Therefore ctx do not hold packet size of last call. BTW library is OK with it. _ For that reason Decoder is initialized for every packet/call (see _DecoderInit in _decode). _  _ If payload length do not match 20/30ms, code just ignores it._
epan/proto.c$		case ENC_TIME_CLASSIC_MAC_OS_SECS|ENC_LITTLE_ENDIAN:$0$Shouldn't this be ENC_BIG_ENDIAN? _  _ Otherwise dissect_mp4_mvhd_body() reaches the default case in this switch._
epan/proto.c$		case ENC_TIME_CLASSIC_MAC_OS_SECS|ENC_LITTLE_ENDIAN:$0$Yes._
packaging/rpm/wireshark.spec.in$* Sun Jan 19 2019 Jiri Novak$0$Should not it be Sun Jan 19 2020 at the previous place? _ Why put it between August and November 2019?_
ui/io_graph_item.c$#define get_io_graph_item_advanced_FT_xINT_unit(datatype)   \$0$Using macros makes the code more compacet but less friendly for debugging.  _  _ I think for *_CALC_AVERAGE the use of guint64 instead of gint64 is preferred in case of an unsigned 64 bit integer._
ui/io_graph_item.c$            //shift left to take the sign bit into account durch conversion$0$"Typo in comment: ""durch"" should be ""during""_"
ui/io_graph_item.c$            //shift left to take the sign bit into account durch conversion$0$Is this translation needed for unsigned quantities? Would it be possible just to use a 0x00ffffff mask?_
ui/io_graph_item.c$            //undo the left shift by dividing by 256$0$Is this translation needed for unsigned quantities? Would it be possible just to use a 0x00ffffff mask?_
